id,title,artist,year,medium,dimensions,artist_photo_url,tags,description,image_url
PAM-001,Keris nilai martabat orang Jawa,Arief Sholeiman,2026,Akrilik,100 x 70 cm,https://huggingface.co/l0r3ntz/artist-photos/resolve/main/artists/Arief Sholeiman.JPG,"budaya jawa, keris, tradisional, spiritual","Keris dalam lukisan melambangkan kewibawaan, kesucian, dan keseimbangan kosmis, perpaduan antara kekuatan spiritual dan martabat budaya Jawa.",https://huggingface.co/l0r3ntz/artwork-images/resolve/main/PAM-001.jpg
PAM-002,Ibu pertiwi ,Asysyifa Aulia Riatno,2026,Akrilik,60 x 80cm,https://huggingface.co/l0r3ntz/artist-photos/resolve/main/artists/Asysyifa Aulia Riatno.JPG,"cat minyak, modern, natura","Merupakan sebuah representasi visual yang sarat akan metafora dan nilai filosofis mendalam tentang kekayaan serta jati diri tanah air. Fokus utama karya tertuju pada sebuah kendi berukir motif suluran flora berwarna cokelat keemasan, yang secara simbolis merepresentasikan rahim Ibu Pertiwi sebagai wadah air sumber suci kehidupan yang menghidupi dan memakmurkan seisi alam. Kendi megah tersebut berdiri anggun di atas hamparan kain jarik Batik Sogan berona cokelat bumi yang menjuntai luwes sebuah elemen yang tidak hanya melambangkan kesuburan tanah nusantara, tetapi juga memuat simbolisme mendalam tentang kasih sayang, di mana kain jarik secara tradisional digunakan oleh masyarakat Jawa untuk menimang anak-anak sejak bayi dalam dekapan kehangatan seorang ibu.",
PAM-003,Menunggu,Aura Salvia Siregar,2026,Digital Painting,"59,4 x 42 cm",https://huggingface.co/l0r3ntz/artist-photos/resolve/main/artists/Aura Salvia Siregar.JPG,"cat minyak, modern, natura","“Menunggu” menghadirkan sosok perempuan dalam balutan nuansa budaya Bali yang anggun dan penuh ketenangan. Kain bermotif tradisional, aksesori rambut keemasan, serta suasana hangat yang menyerupai cahaya senja Bali menciptakan atmosfer yang sarat dengan nilai budaya dan spiritualitas. Figur perempuan digambarkan berdiri dalam diam, membawa ekspresi sendu yang seolah merepresentasikan penantian yang hening namun penuh makna.

Pita-pita yang mengalir di sekeliling tubuh bergerak bebas, kontras dengan dirinya yang terkurung diam dalam penantian. Sementara itu, latar yang samar menyerupai lanskap tropis dan arsitektur tradisional menghadirkan kesan ruang yang puitis dan kesunyian. ",
PAM-004,Echoes,Catherine Dinara Sianturi,2026,Digital Painting,"59,4 x 42 cm",https://huggingface.co/l0r3ntz/artist-photos/resolve/main/artists/Catherine Dinara Sianturi.JPG,"cat minyak, modern, natura","Karya ini menggambarkan tokoh-tokoh legenda Nusantara yang hadir di tengah kehidupan modern perkotaan. Melalui visual karakter tradisional yang digambar menggunakan perangkat digital di suasana kota masa kini, karya ini menunjukkan bahwa perkembangan zaman dan teknologi akan terus berjalan, namun cerita rakyat tidak boleh dilupakan.

 Tokoh-tokoh legenda tidak hanya menjadi cerita masa lalu, tetapi juga dapat terus berkembang dan dikenalkan kembali kepada generasi sekarang melalui media dan gaya visual yang lebih relevan. Karya ini menjadi bentuk ajakan untuk melestarikan kebudayaan Nusantara agar tetap dikenang, diwariskan, dan memiliki tempat di era modern.",
PAM-005,Permainan Orang Gadang,Daffa Utama Saragih,2026,Cat Minyak,100 x 200 cm,https://huggingface.co/l0r3ntz/artist-photos/resolve/main/artists/Daffa Utama Saragih.JPG,"sosial politik, kritik sosial, ikonografi minang","Karya ini mendekonstruksi kemiskinan struktural yang dipelihara oleh elit (Orang Gadang). Garis kuning geometris serupa tenda sirkus melambangkan pandangan penguasa yang kaku, sombong, dan ""tak menapak tanah""-memandang realitas dari ketinggian otoritas semu. Figur sentral hadir sebagai dalang yang memanipulasi entitas di bawahnya. Dua kerbau yang diadu menjadi metafora rakyat kecil yang dipaksa berkonfrontasi dalam ring sandiwara demi kesenangan politik. Menggunakan ikonografi Minang, lukisan ini menggugat bagaimana tradisi dan nasib rakyat sering kali hanya dijadikan komoditas dalam sirkus kekuasaan.",https://huggingface.co/l0r3ntz/artwork-images/resolve/main/PAM-005.jpg
PAM-006,Rwa Bhineda,Dea Bilqis Ananda Br. Sinaga,2026,Digital Painting,"59,4 cm x 42 cm",https://huggingface.co/l0r3ntz/artist-photos/resolve/main/artists/Dea Bilqis Ananda Br. Sinaga.JPG,"cat minyak, modern, natura","Karya ini menggambarkan seorang penari Bali yang tengah menggeser topengnya, menghadirkan dua wajah dalam satu momen 'wajah manusia dan wajah karakter' yang ia hidupkan. Gelungan keemasan, rambut hitam keriting berhias kembang merah, dan busana merah emas yang penuh detail menjadi cerminan kekayaan estetika tari Bali yang tak lekang oleh waktu.

Di sinilah inti dari karya ini: bukan pada kemewahan kostumnya, melainkan pada momen kecil di antara keduanya, ketika seorang penari sejenak berdiri di antara dirinya sendiri dan karakter yang ia emban, sebelum pertunjukan kembali berlanjut.",
PAM-007,Harmoni Dwipantara,Dwi Fadhillah,2026,Batik Tulis,180 cm x 35 cm ,https://huggingface.co/l0r3ntz/artist-photos/resolve/main/artists/Dwi Fadhillah.JPG,"cat minyak, modern, natura","""Karya batik ini menggabungkan unsur budaya Jawa dan Sumatera Utara melalui motif wayang khas Jawa dan ornamen Melayu yaitu (pucuk rebung) yang dekoratif. Perpaduan warna biru, emas, hitam, dan marun memberikan kesan elegan, mewah, serta tradisional. Karya ini melambangkan keharmonisan budaya Nusantara sekaligus menjadi bentuk pelestarian batik dalam sentuhan modern dan pola dekoratif tradisional yang melambangkan keharmonisan, kemegahan, dan kekayaan dalam budaya Nusantara.""",https://huggingface.co/l0r3ntz/artwork-images/resolve/main/PAM-007.jpg
PAM-008,Dialog Jiwa,Fajar Mikael,2026,Akrilik,60 cm x 80 cm,https://huggingface.co/l0r3ntz/artist-photos/resolve/main/artists/Fajar Mikael.JPG,"cat minyak, modern, natura","Karya ini menghadirkan percakapan batin antara dua entitas. Gaya ekspresionis dengan tekstur kasar dan warna intens memperlihatkan ledakan emosi, konflik, sekaligus hubungan yang tidak terucapkan di antara kedua sosok.
Kedua sosok dalam lukisan tampak saling berhadapan, seakan sedang berdialog tanpa kata. Tatapan mereka menghadirkan ketegangan sekaligus kedekatan emosional, menggambarkan hubungan yang rumit antara amarah, ketakutan, ego, dan kerinduan. Mereka bukan hanya dua figur, tetapi simbol dari dua sisi jiwa manusia yang terus berkonflik di dalam diri: terang dan gelap, keberanian dan keraguan, kehancuran dan harapan.",
PAM-009,Gunungan Adiluhung ,Fitrah Aminah,2025,Batik Tulis,100 x 100 cm,https://huggingface.co/l0r3ntz/artist-photos/resolve/main/artists/Fitrah Aminah.JPG,Batik Tuli,"Karya batik berjudul  “Gunungan Adiluhung” merupakan karya yang mengangkat unsur budaya Jawa melalui motif gunungan dan tokoh wayang sebagai elemen utama. Gunungan ditempatkan sebagai pusat perhatian untuk merepresentasikan makna kehidupan, keseimbangan, dan perjalanan manusia. Kehadiran figur wayang di sisi kanan dan kiri semakin memperkuat identitas tradisi Jawa yang sarat akan nilai filosofi dan budaya.
Ornamen awan dan sulur dekoratif yang mengelilingi motif utama menghadirkan kesan dinamis sekaligus sakral, sedangkan pola geometris pada bagian bawah melambangkan keteraturan dan keharmonisan. Penggunaan warna hitam, emas, putih, dan merah muda juga memiliki makna tersendiri. Warna hitam melambangkan kewibawaan dan ketegasan, warna emas melambangkan kemuliaan dan keagungan, sementara sentuhan warna merah muda menghadirkan kesan lembut dan estetis.
Keseluruhan motif dan warna dalam karya batik ini mencerminkan nilai budaya Jawa yang adiluhung, sakral, dan penuh filosofi.",https://huggingface.co/l0r3ntz/artwork-images/resolve/main/PAM-009.jpg
PAM-010,Renggani Aruna,Intan Mumtazah Assa_idah,2026,Batik Tulis,180 x 35 cm,https://huggingface.co/l0r3ntz/artist-photos/resolve/main/artists/Intan Mumtazah Assa_idah.JPG,Batik Tulis,"Renggani Aruna menghadirkan perpaduan ragam hias Nusantara melalui motif floral, motif kawung, motif itik sekawan Melayu, serta figur wayang dalam satu komposisi wastra dekoratif. Susunan motif yang memenuhi bidang kain menciptakan kesan hidup dan harmonis, sekaligus menghadirkan nuansa tradisional dalam pendekatan visual yang lebih kontemporer.

Motif floral yang mengalir di sepanjang kain menghadirkan kesan seperti taman hias yang terus tumbuh, sementara figur wayang hadir secara samar di antara ornamen sebagai simbol tradisi dan identitas budaya yang tetap bertahan di tengah perkembangan zaman. Motif kawung pada bagian tengah menjadi penyeimbang di antara kepadatan elemen dekoratif, sedangkan motif itik sekawan Melayu merepresentasikan kebersamaan dan hubungan sosial yang berjalan selaras.

Melalui perpaduan berbagai motif dan simbol budaya tersebut, Renggani Aruna merepresentasikan budaya Nusantara sebagai ruang yang kaya akan keberagaman, namun tetap terhubung dalam harmoni yang hidup dan terus berkembang.",https://huggingface.co/l0r3ntz/artwork-images/resolve/main/PAM-010.jpg
